study,treat,season,harvest_year,location,state,country,elevation,region,elevation_class,inc_check,inc_class,yld_check,yld_class,inc,scl,yld
9,1,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,37.7,5092,3729
9,2,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,11.6,6154,3739
9,3,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,33.5,200,3863
9,4,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,1,180,3904
9,5,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,5.6,1123,4471
9,6,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,1,641,4313
9,7,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,3.7,1203,4177
9,8,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,0,521,4001
9,9,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,1.1,20,4090
9,10,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,0,0,4254
9,11,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,36.8,8479,3656
9,12,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,37.7,low,3729,high,17.1,5072,3581
18,1,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,31.6,4240,3682
18,2,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,9.9,2090,4240
18,3,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,4.8,590,4395
18,4,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,0.9,920,4405
18,5,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,1.9,210,4296
18,6,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,2.8,1190,4065
18,7,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,11,160,4116
18,8,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,4.7,990,4116
18,9,2009/2010,2010,Agua Fria,GO,Brazil,891,Northern ,low,31.6,low,3682,high,20.7,140,4159
27,1,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,36,9480,2847
27,2,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,13,3300,3397
27,3,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,12,5200,3515
27,4,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,8,5560,3239
27,5,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,7,4000,3672
27,6,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,4,400,2996
27,7,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,6,4480,4095
27,8,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,2,2820,3666
27,9,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,4,760,3898
27,10,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,14,5440,3284
27,11,2010/2011,2011,Agua Fria ,GO,Brazil,891,Northern ,low,36,low,2847,high,25,5420,2990
10,1,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,43.7,461,1833
